Week,Target
202501," 88,432,016 "
202502," 73,301,499 "
202503," 73,637,582 "
202504," 98,628,904 "
202505," 103,670,517 "
202506," 88,191,819 "
202507," 85,054,096 "
202508," 79,783,567 "
202509," 91,097,341 "
202510," 81,069,827 "
202511," 73,761,078 "
202512," 84,108,666 "
202513," 111,063,088 "
202514," 106,511,706 "
202515," 92,689,203 "
202516," 79,692,993 "
202517," 79,206,098 "
202518," 95,202,247 "
202519," 82,028,523 "
202520," 75,614,998 "
202521," 86,954,232 "
202522," 98,993,708 "
202523," 92,700,520 "
202524," 85,792,015 "
202525," 79,560,989 "
202526," 89,552,767 "
202527," 88,484,380 "
202528," 82,605,900 "
202529," 78,386,204 "
202530," 94,823,516 "
202531," 91,969,057 "
202532," 83,930,018 "
202533," 79,038,221 "
202534," 79,662,703 "
202535," 98,238,247 "
202536," 91,726,733 "
202537," 78,187,543 "
202538," 81,947,482 "
202539," 89,999,995 "
202540," 91,718,541 "
202541," 81,331,938 "
202542," 73,765,532 "
202543," 91,783,990 "
202544," 87,973,979 "
202545," 84,635,445 "
202546," 78,827,056 "
202547," 78,763,521 "
202548," 97,405,576 "
202549," 87,894,601 "
202550," 85,483,960 "
202551," 90,842,342 "
202552," 102,273,520 "
